MaxOnes 100 12 0.01 0.50
1 20.000000 0.663364 98.67% Identical
2 100.000000 3.372747 98.67% Identical
3 100.000000 5.724115 98.67% Identical
4 100.000000 8.445515 98.67% Identical
5 100.000000 40.071663 98.67% Identical
6 100.000000 69.650327 98.67% Identical
7 100.000000 81.997476 98.67% Identical
8 100.000000 92.661520 98.67% Identical
9 100.000000 80.639137 98.67% Identical
10 100.000000 91.995251 98.67% Identical
11 100.000000 92.014434 98.67% Identical
12 100.000000 95.780012 98.67% Identical
13 100.000000 90.665909 98.67% Identical
14 100.000000 92.005677 98.67% Identical
15 100.000000 90.686316 98.67% Identical
16 100.000000 94.658353 98.67% Identical
17 100.000000 93.327814 98.67% Identical
18 100.000000 92.019404 98.67% Identical
19 100.000000 95.995863 98.67% Identical
20 100.000000 96.001562 98.67% Identical
21 100.000000 93.342520 98.67% Identical
22 100.000000 100.001211 98.67% Identical
23 100.000000 95.993576 98.67% Identical
24 100.000000 83.987669 98.67% Identical
25 100.000000 97.335567 98.67% Identical
26 100.000000 93.319810 98.67% Identical
27 100.000000 85.335395 98.67% Identical
28 100.000000 94.661905 98.67% Identical
29 100.000000 93.326476 98.67% Identical
30 100.000000 90.661741 98.67% Identical
31 100.000000 93.353051 98.67% Identical
32 100.000000 97.331084 98.67% Identical
33 100.000000 89.329486 98.67% Identical
34 100.000000 90.651351 98.67% Identical
35 100.000000 97.342215 98.67% Identical
36 100.000000 87.983725 98.67% Identical
37 100.000000 91.985065 98.67% Identical
38 100.000000 89.340243 98.67% Identical
39 100.000000 92.011504 98.67% Identical
40 100.000000 89.321920 98.67% Identical
41 100.000000 94.654814 98.67% Identical
42 100.000000 92.004505 98.67% Identical
43 100.000000 93.344200 98.67% Identical
44 100.000000 94.682485 98.67% Identical
45 100.000000 89.353334 98.67% Identical
46 100.000000 91.979564 98.67% Identical
47 100.000000 86.683458 98.67% Identical
48 100.000000 88.001588 98.67% Identical
49 100.000000 87.987697 98.67% Identical
50 100.000000 95.995535 98.67% Identical
51 100.000000 93.337292 98.67% Identical
52 100.000000 95.993643 98.67% Identical
53 100.000000 97.321838 98.67% Identical
54 100.000000 94.670824 98.67% Identical
55 100.000000 90.662207 98.67% Identical
56 100.000000 90.666042 98.67% Identical
57 100.000000 88.009752 98.67% Identical
58 100.000000 90.671075 98.67% Identical
59 100.000000 83.990033 98.67% Identical
60 100.000000 93.344992 98.67% Identical
61 100.000000 87.992776 98.67% Identical
62 100.000000 88.014476 98.67% Identical
63 100.000000 93.340655 98.67% Identical
64 100.000000 96.009070 98.67% Identical
65 100.000000 89.347009 98.67% Identical
66 100.000000 90.682763 98.67% Identical
67 100.000000 90.658121 98.67% Identical
68 100.000000 96.013062 98.67% Identical
69 100.000000 93.324724 98.67% Identical
70 100.000000 90.672682 98.67% Identical
71 100.000000 93.326306 98.67% Identical
72 100.000000 92.012731 98.67% Identical
73 100.000000 90.684282 98.67% Identical
74 100.000000 89.333736 98.67% Identical
75 100.000000 90.667117 98.67% Identical
